Escenario,Threshold,Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN
60-20-20 Sin Outliers,0.935,0.7542,0.9032,0.4058,0.56,28,107,3,41
60-20-20 Con Outliers,0.9,0.7709,0.8889,0.4638,0.6095,32,106,4,37
